sno,sid,name,email,mno,rno
56,A2017IT5375,Pankaj Gautam,Pankaj_Gautam@gmail.com,9902536553,1714313013
57,A2017IT5237,Piyush Mudgal,Piyush_Mudgal@gmail.com,9902536482,1714313025
58,A2017IT5473,Prakhar Singh,Prakhar_Singh@gmail.com,9902536515,1714313099
59,A2017IT5497,Prantak R. Singh,Prantak_R._Singh@gmail.com,9902536560,1714313006
60,A2017IT5509,Pratyaksh Dhiman,Pratyaksh_Dhiman@gmail.com,9902536517,1714313079
61,A2017IT5140,Priyanshu Sharma,Priyanshu_Sharma@gmail.com,9902536559,1714313051
62,A2017IT5227,Rajvikram Saxena,Rajvikram_Saxena@gmail.com,9902536547,1714313086
63,A2017IT4980,Shahid Ansari,Shahid_Ansari@gmail.com,9902536414,1714313017
64,A2017IT5407,Shivam Singh,Shivam_Singh1@gmail.com,9902536431,1714313058
65,A2017IT5410,Shivam Singh,Shivam_Singh@gmail.com,9902536442,1714313072
66,A2017IT5026,Shristi Singh,Shristi_Singh@gmail.com,9902536543,1714313079
67,A2017IT5360,Shubham Gupta,Shubham_Gupta@gmail.com,9902536439,1714313071
68,A2017IT5459,Somya Mishra,Somya_Mishra@gmail.com,9902536445,1714313002
69,A2017IT5456,Tanmay Rastogi,Tanmay_Rastogi@gmail.com,9902536587,1714313020
70,A2017IT5352,Utkarsh Singh,Utkarsh_Singh@gmail.com,9902536573,1714313075
71,A2017IT5063,Vaibhav Singhal,Vaibhav_Singhal@gmail.com,9902536487,1714313035
72,A2017IT5350,Vishwas Babu Gupta,Vishwas_Babu_Gupta@gmail.com,9902536403,1714313029
73,A2017IT5378,Yash Kumar,Yash_Kumar@gmail.com,9902536449,1714313050
74,A2016IT4630,Aayush Bansal,Aayush_Bansal@gmail.com,9902536575,1614313031
75,A2016IT3694,Abhijeet Sharma,Abhijeet_Sharma@gmail.com,9902536567,1614313041
76,A2016IT4680,Abhishek Kumar Singh,Abhishek_Kumar_Singh@gmail.com,9902536575,1614313035
77,A2016IT4125,Abhishek Tyagi,Abhishek_Tyagi@gmail.com,9902536475,1614313074
78,A2016IT4623,Amritanshu Dwivedi,Amritanshu_Dwivedi@gmail.com,9902536422,1614313038
79,A2016IT4659,Anmol Rajput,Anmol_Rajput@gmail.com,9902536487,1614313014
80,A2016IT4636,Anurag Yadav,Anurag_Yadav@gmail.com,9902536489,1614313018
81,A2016IT4612,Archit Saxena,Archit_Saxena@gmail.com,9902536514,1614313059
82,A2016IT4393,Ashish Kumar Jha,Ashish_Kumar_Jha@gmail.com,9902536424,1614313054
83,A2016IT4522,Ashish Kumar Sandhu,Ashish_Kumar_Sandhu@gmail.com,9902536558,1614313039
84,A2016IT4670,Ashutosh Dixit,Ashutosh_Dixit@gmail.com,9902536555,1614313049
85,A2016IT4395,Ashwani Kumar Kashyap,Ashwani_Kumar_Kashyap@gmail.com,9902536526,1614313055
86,A2016IT3998,Ayushi Srivastava,Ayushi_Srivastava@gmail.com,9902536493,1614313025
87,A2016IT3079,Deepanshu Chaudhary,Deepanshu_Chaudhary@gmail.com,9902536423,1614313022
88,A2016IT4553,Dharmveer Singh,Dharmveer_Singh@gmail.com,9902536528,1614313065
89,A2016IT4855,Harshita Vijay,Harshita_Vijay@gmail.com,9902536479,1614313005
90,A2016IT4031,Himanshu Teotia,Himanshu_Teotia@gmail.com,9902536450,1614313014
91,A2016IT4638,Kumar Kashyap,Kumar_Kashyap@gmail.com,9902536476,1614313031
92,A2016IT4694,Lovneesh Vij,Lovneesh_Vij@gmail.com,9902536537,1614313063
93,A2016IT3667,Manish Kumar,Manish_Kumar@gmail.com,9902536494,1614313030
94,A2016IT4696,Manvendra Singh,Manvendra_Singh@gmail.com,9902536497,1614313045
95,A2016IT4649,Mohd Imran Khan,Mohd_Imran_Khan@gmail.com,9902536479,1614313034
96,A2016IT4139,Mohit Maan,Mohit_Maan@gmail.com,9902536551,1614313060
97,A2016IT4600,Mukesh Kumar Prajapati,Mukesh_Kumar_Prajapati@gmail.com,9902536499,1614313021
98,A2016IT4185,Mukul Bhardwaj,Mukul_Bhardwaj@gmail.com,9902536483,1614313033
99,A2016IT4127,Naveen Kumar Singh,Naveen_Kumar_Singh@gmail.com,9902536591,1614313074
100,A2016IT4708,Neelesh Bhardwaj,Neelesh_Bhardwaj@gmail.com,9902536525,1614313002
101,A2016IT4641,Nitesh Kumar Verma,Nitesh_Kumar_Verma@gmail.com,9902536585,1614313050
102,A2016IT4688,Nitin Kumar,Nitin_Kumar@gmail.com,9902536593,1614313024
103,A2016IT4290,Pranjal Agarwal,Pranjal_Agarwal@gmail.com,9902536567,1614313044
104,A2016IT4400,Priyansh Gupta,Priyansh_Gupta@gmail.com,9902536480,1614313056
105,A2016IT4126,Rishi Chaturvedi,Rishi_Chaturvedi@gmail.com,9902536476,1614313035
106,A2016IT3806,Sahil Sharma,Sahil_Sharma@gmail.com,9902536520,1614313010
107,A2016IT4687,Sajal Sharma,Sajal_Sharma@gmail.com,9902536453,1614313050
108,A2016IT4399,Satyendra Kushwaha,Satyendra_Kushwaha@gmail.com,9902536459,1614313021
109,A2016IT4383,Saurabh Raj,Saurabh_Raj@gmail.com,9902536563,1614313013
110,A2016IT4390,Shashi Bhushan Yadav,Shashi_Bhushan_Yadav@gmail.com,9902536439,1614313036
111,A2016IT4607,Shikhar Chaudhary,Shikhar_Chaudhary@gmail.com,9902536485,1614313026
112,A2016IT4338,Shikha Singh,Shikha_Singh@gmail.com,9902536446,1614313006
113,A2016IT4622,Shivam Singh,Shivam_Singh2@gmail.com,9902536508,1614313062
114,A2016IT4556,Singh Vaibhav Rajesh,Singh_Vaibhav_Rajesh@gmail.com,9902536589,1614313073
115,A2016IT4111,Udit Rana,Udit_Rana@gmail.com,9902536488,1614313038
116,A2016IT4104,Ujjwal Shrivastav,Ujjwal_Shrivastav@gmail.com,9902536407,1614313032
117,A2016IT4389,Vishal Singh,Vishal_Singh@gmail.com,9902536588,1614313032
118,A2016IT4044,Shivam Shukla,shivamshukla2297@gmail.com,9999014429,1614313078
119,A2016IT4562,Shivam Mittal,shivam00035@gmail.com,9599943368,1614313076
120,A2016IT4044,Shivam Shukla,shivam.dev1097@gmail.com,9999014429,1614313078
121,A2016IT4567,Naitik Rana,naitik334@gmail.com,8130144790,1614313046
